2026-08-14 14:28:03,287 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 14:28:03,287 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 14:28:03,287 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer":{"displayName":"ContosoLtd","type":"Company","addressLine1":"123 Main Street","city":"Chennai","state":"Tamil Nadu","country":"India","phoneNumber":"9876543210","email":"contoso@example.com","website":"https://contoso.com"}}
2026-08-14 14:28:06,847 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 14:28:06,847 | INFO | agent_framework | Function name: create_customer
2026-08-14 14:28:07,046 | ERROR | agent_framework | Function failed. Error: 'dict' object has no attribute 'json'
2026-08-14 14:28:07,046 | INFO | agent_framework | Function duration: 0.191903s
2026-08-14 14:28:07,046 | WARNING | agent_framework | Function 'create_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: AttributeError("'dict' object has no attribute 'json'")
2026-08-14 14:28:10,929 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 14:28:10,929 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 14:28:10,929 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer":{"displayName":"ContosoLtd","type":"Company","addressLine1":"123 Main Street","city":"Chennai","state":"Tamil Nadu","country":"India","phoneNumber":"9876543210","email":"contoso@example.com","website":"https://contoso.com"}}
