2026-08-14 15:36:27,661 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 15:36:27,661 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 15:36:27,663 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer":{"displayName":"ContosoLtd","type":"Company","addressLine1":"123 Main Street","city":"Chennai","state":"Tamil Nadu","country":"IN","postalCode":null,"phoneNumber":"9876543210","email":"contoso@example.com","website":"https://contoso.com"}}
2026-08-14 15:36:30,472 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 15:36:30,472 | INFO | agent_framework | Function name: create_customer
2026-08-14 15:36:33,097 | INFO | agent_framework | Function create_customer succeeded.
2026-08-14 15:36:33,097 | INFO | agent_framework | Function duration: 2.629457s
2026-08-14 15:38:41,653 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 15:38:41,653 | INFO | utils.human_approval | Tool requested: update_customer
2026-08-14 15:38:41,653 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer_id":"16d5e0cd-c797-f111-8072-70a8a56939de","customer":{"phoneNumber":"9876500000","website":"https://contosoltd.com"},"etag":"W/\"JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc=\""}
2026-08-14 15:38:45,032 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 15:38:45,032 | INFO | agent_framework | Function name: update_customer
2026-08-14 15:38:45,281 | ERROR | agent_framework | Function failed. Error: Client error '422 Unprocessable Entity' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/16d5e0cd-c797-f111-8072-70a8a56939de?etag=W%2F%22JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc%3D%22'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422
2026-08-14 15:38:45,281 | INFO | agent_framework | Function duration: 0.244319s
2026-08-14 15:38:45,281 | WARNING | agent_framework | Function 'update_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: HTTPStatusError("Client error '422 Unprocessable Entity' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/16d5e0cd-c797-f111-8072-70a8a56939de?etag=W%2F%22JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc%3D%22'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422")
2026-08-14 15:38:48,459 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 15:38:48,459 | INFO | utils.human_approval | Tool requested: update_customer
2026-08-14 15:38:48,459 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer_id":"16d5e0cd-c797-f111-8072-70a8a56939de","customer":{"phoneNumber":"9876500000","website":"https://contosoltd.com"},"etag":"W/\"JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc=\""}
2026-08-14 15:38:53,714 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 15:38:53,714 | INFO | agent_framework | Function name: update_customer
2026-08-14 15:38:53,933 | ERROR | agent_framework | Function failed. Error: Client error '422 Unprocessable Entity' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/16d5e0cd-c797-f111-8072-70a8a56939de?etag=W%2F%22JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc%3D%22'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422
