2026-08-14 15:43:30,926 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 15:43:30,928 | INFO | utils.human_approval | Tool requested: update_customer
2026-08-14 15:43:30,928 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer_id":"16d5e0cd-c797-f111-8072-70a8a56939de","customer":{"phoneNumber":"9876500000","website":"https://contosoltd.com"},"etag":"W/\"JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc=\""}
2026-08-14 15:43:34,192 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 15:43:34,192 | INFO | agent_framework | Function name: update_customer
2026-08-14 15:43:34,383 | ERROR | agent_framework | Function failed. Error: Client error '422 Unprocessable Entity' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/16d5e0cd-c797-f111-8072-70a8a56939de?etag=W%2F%22JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc%3D%22'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422
2026-08-14 15:43:34,383 | INFO | agent_framework | Function duration: 0.200559s
2026-08-14 15:43:34,383 | WARNING | agent_framework | Function 'update_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: HTTPStatusError("Client error '422 Unprocessable Entity' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/16d5e0cd-c797-f111-8072-70a8a56939de?etag=W%2F%22JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc%3D%22'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422")
2026-08-14 15:43:39,334 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 15:43:39,334 | INFO | utils.human_approval | Tool requested: update_customer
2026-08-14 15:43:39,334 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer_id":"16d5e0cd-c797-f111-8072-70a8a56939de","customer":{"phoneNumber":"9876500000","website":"https://contosoltd.com"},"etag":"W/\"JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc=\""}
2026-08-14 15:45:01,367 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 15:45:01,367 | INFO | agent_framework | Function name: update_customer
2026-08-14 15:45:01,585 | ERROR | agent_framework | Function failed. Error: Client error '422 Unprocessable Entity' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/16d5e0cd-c797-f111-8072-70a8a56939de?etag=W%2F%22JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc%3D%22'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422
2026-08-14 15:45:01,585 | INFO | agent_framework | Function duration: 0.217839s
2026-08-14 15:45:01,585 | WARNING | agent_framework | Function 'update_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: HTTPStatusError("Client error '422 Unprocessable Entity' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/16d5e0cd-c797-f111-8072-70a8a56939de?etag=W%2F%22JzE5Ozc3MzMxNzgzNDY3MjcxOTUwMzUxOzAwOyc%3D%22'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422")
2026-08-14 15:48:27,564 | INFO | utils.human_approval | Approval requests pending: 1
