2026-08-14 15:15:42,593 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 15:15:42,593 | INFO | utils.human_approval | Tool requested: update_customer
2026-08-14 15:15:42,593 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer_id":"81ce3ece-c397-f111-8073-6045bdcea334","customer":{"phoneNumber":"9876500000","website":"https://contosoltd.com"},"etag":"W/\"JzIwOzE3MjI3NzU5NDUzMzM2ODUxMDYwMTswMDsn\""}
2026-08-14 15:15:45,174 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 15:15:45,177 | INFO | agent_framework | Function name: update_customer
2026-08-14 15:15:47,216 | INFO | agent_framework | Function update_customer succeeded.
2026-08-14 15:15:47,216 | INFO | agent_framework | Function duration: 2.036163s
2026-08-14 15:20:28,465 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 15:20:28,465 | INFO | utils.human_approval | Tool requested: delete_customer
2026-08-14 15:20:28,465 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer_id":"81ce3ece-c397-f111-8073-6045bdcea334","etag":"W/\"JzIwOzE3MjI3NzU5NDUzMzM2ODUxMDYwMTswMDsn\""}
2026-08-14 15:20:31,888 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 15:20:31,888 | INFO | agent_framework | Function name: delete_customer
2026-08-14 15:20:33,090 | WARNING | business_central_tool.app.core.exceptions.handlers | Business Central resource conflict: {"error":{"code":"Request_EntityChanged","message":"Another user has already changed the record.  CorrelationId:  a733dd6a-efe4-4c47-9e5f-e09360813f7a."}}
2026-08-14 15:20:33,093 | ERROR | agent_framework | Function failed. Error: Client error '409 Conflict' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/81ce3ece-c397-f111-8073-6045bdcea334?etag=W%2F%22JzIwOzE3MjI3NzU5NDUzMzM2ODUxMDYwMTswMDsn%22'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/409
2026-08-14 15:20:33,093 | INFO | agent_framework | Function duration: 1.203532s
2026-08-14 15:20:33,093 | WARNING | agent_framework | Function 'delete_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: HTTPStatusError("Client error '409 Conflict' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/81ce3ece-c397-f111-8073-6045bdcea334?etag=W%2F%22JzIwOzE3MjI3NzU5NDUzMzM2ODUxMDYwMTswMDsn%22'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/409")
2026-08-14 15:20:37,613 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 15:20:37,613 | INFO | utils.human_approval | Tool requested: delete_customer
2026-08-14 15:20:37,613 | INFO | utils.human_approval | Arguments: {"company_id":"b497dc51-8376-f111-a5be-6045bdfb7c14","customer_id":"81ce3ece-c397-f111-8073-6045bdcea334","etag":"W/\"JzIwOzE3MjI3NzU5NDUzMzM2ODUxMDYwMTswMDsn\""}
2026-08-14 15:22:58,205 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 15:22:58,207 | INFO | agent_framework | Function name: delete_customer
2026-08-14 15:22:58,425 | ERROR | business_central_tool.app.core.exceptions.handlers | Business Central error: Invalid customer_id: 81ce3ece-c397-f111-8073-6045bdcea334 
2026-08-14 15:22:59,516 | WARNING | business_central_tool.app.core.exceptions.handlers | Business Central resource conflict: {"error":{"code":"Request_EntityChanged","message":"Another user has already changed the record.  CorrelationId:  77243639-bdb3-4ea2-b890-d68c57ba202b."}}
2026-08-14 15:22:59,517 | ERROR | agent_framework | Function failed. Error: Client error '409 Conflict' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/81ce3ece-c397-f111-8073-6045bdcea334?etag=W%2F%22JzIwOzE3MjI3NzU5NDUzMzM2ODUxMDYwMTswMDsn%22'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/409
2026-08-14 15:22:59,517 | INFO | agent_framework | Function duration: 1.309797s
2026-08-14 15:22:59,518 | WARNING | agent_framework | Function 'delete_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: HTTPStatusError("Client error '409 Conflict' for url 'http://127.0.0.1:8000/api/business-central/companies/b497dc51-8376-f111-a5be-6045bdfb7c14/customers/81ce3ece-c397-f111-8073-6045bdcea334?etag=W%2F%22JzIwOzE3MjI3NzU5NDUzMzM2ODUxMDYwMTswMDsn%22'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/409")
2026-08-14 15:23:52,128 | ERROR | business_central_tool.app.core.exceptions.handlers | Business Central error: Invalid company_id: b497dc51-8376-f111-a5be-6045bdfb7c14 
